,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
121,Леска рыболовная карповая,142884926,30,1490,1043,MIKADO,12358,2,5,https://www.wildberries.ru/catalog/142884926/detail.aspx?targetUrl=BP
122,Леска для рыбалки карповая 3Д,144128071,30,1490,1043,CAIMAN,61021,0,0,https://www.wildberries.ru/catalog/144128071/detail.aspx?targetUrl=BP
123,Леска для рыбалки карповая 3Д,144127412,30,1490,1043,CAIMAN,61021,0,0,https://www.wildberries.ru/catalog/144127412/detail.aspx?targetUrl=BP
124,Плавающие бойлы флоу дип малина мёд прикормка 14 мм 60г,21441131,54,1645,756,CARPOMANIYA Карпомания,208468,1,5,https://www.wildberries.ru/catalog/21441131/detail.aspx?targetUrl=BP
125,Плавающие бойлы флоу дип кукуруза тутти для ловли 14мм 60г,21441130,54,1645,756,CARPOMANIYA Карпомания,208468,1,4,https://www.wildberries.ru/catalog/21441130/detail.aspx?targetUrl=BP
126,Аттрактант рыболовный ваниль для рыбалки аттрактант приманка,14269796,54,1557,716,CARPOMANIYA Карпомания,208468,9,4,https://www.wildberries.ru/catalog/14269796/detail.aspx?targetUrl=BP
127,Аттрактант рыболовный амур для рыбалки аттрактант приманка,13993643,54,1557,716,CARPOMANIYA Карпомания,208468,9,4,https://www.wildberries.ru/catalog/13993643/detail.aspx?targetUrl=BP
128,Аттрактант рыболовный карп для рыбалки аттрактант приманка,13993642,54,1557,716,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/13993642/detail.aspx?targetUrl=BP
129,Огурец технопланктон для ловли толстолобика 55г х 15шт. в ко…,13449932,82,3888,699,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/13449932/detail.aspx?targetUrl=BP
130,Технопланктон клубника 140 гр 6 шт убийца толстолоба,81824181,82,3888,699,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/81824181/detail.aspx?targetUrl=BP
131,Плавающие бойлы мед приманка для ловли рыбы 14 мм 60 г,85140236,54,1514,696,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/85140236/detail.aspx?targetUrl=BP
132,Плавающие бойлы флоу клубника прикормка 18мм 60г,21441134,54,1514,696,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/21441134/detail.aspx?targetUrl=BP
133,Плавающие бойлы флоу слива прикорм для рыбы наживка насадка…,21441137,54,1514,696,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/21441137/detail.aspx?targetUrl=BP
134,Плавающие бойлы флоу мёд прикорм для рыб наживка прикормка н…,21441136,54,1514,696,CARPOMANIYA Карпомания,208468,2,5,https://www.wildberries.ru/catalog/21441136/detail.aspx?targetUrl=BP
135,Плавающие бойлы запах сливы прикормка для ловли рыбы приманк…,13576717,54,1514,696,CARPOMANIYA Карпомания,208468,5,5,https://www.wildberries.ru/catalog/13576717/detail.aspx?targetUrl=BP
136,Плавающие бойлы мёд прикормка для ловли рыбы для рыбалки при…,22154731,54,1514,696,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/22154731/detail.aspx?targetUrl=BP
137,Плавающие бойл дамблс дип клубника прикормка для ловли 8мм 6…,25768041,52,1320,633,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/25768041/detail.aspx?targetUrl=BP
