,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
199,Сандалии,31081097,62,9990,3796,GUESS,398,5,3,https://www.wildberries.ru/catalog/31081097/detail.aspx?targetUrl=BP
200,Слипоны,20977885,50,9480,4740,Lacoste,524,20,4,https://www.wildberries.ru/catalog/20977885/detail.aspx?targetUrl=BP
201,Кроссовки,11954538,69,14990,4646,Strellson,4289,6,3,https://www.wildberries.ru/catalog/11954538/detail.aspx?targetUrl=BP
202,Слипоны,7228327,73,9980,2694,Lacoste,524,13,3,https://www.wildberries.ru/catalog/7228327/detail.aspx?targetUrl=BP
203,Кроссовки SPLITSTEP 120 1SFA,12491053,61,11980,4672,Lacoste,524,75,4,https://www.wildberries.ru/catalog/12491053/detail.aspx?targetUrl=BP
204,Туфли,22255849,65,12390,4336,GUESS,398,9,4,https://www.wildberries.ru/catalog/22255849/detail.aspx?targetUrl=BP
205,Ботинки,16817653,67,17290,5705,Braccialini,7740,14,3,https://www.wildberries.ru/catalog/16817653/detail.aspx?targetUrl=BP
206,Ботинки,53205948,58,11690,4909,GUESS,398,3,5,https://www.wildberries.ru/catalog/53205948/detail.aspx?targetUrl=BP
207,Кеды,12006538,69,14990,4646,Strellson,4289,4,3,https://www.wildberries.ru/catalog/12006538/detail.aspx?targetUrl=BP
208,Тапочки,116878159,0,5133,5133,Calvin Klein,154,15,4,https://www.wildberries.ru/catalog/116878159/detail.aspx?targetUrl=BP
209,Сандалии,11848738,61,3000,1170,UGG,14599,16,5,https://www.wildberries.ru/catalog/11848738/detail.aspx?targetUrl=BP
210,Кеды,30562774,55,11590,5215,Replay,3513,6,4,https://www.wildberries.ru/catalog/30562774/detail.aspx?targetUrl=BP
211,Угги Classic Femme Short,9233734,70,17500,5250,UGG,14599,44,4,https://www.wildberries.ru/catalog/9233734/detail.aspx?targetUrl=BP
212,Шлепанцы,112401106,58,10590,4447,INUOVO,7899,6,4,https://www.wildberries.ru/catalog/112401106/detail.aspx?targetUrl=BP
213,Ботинки,41604015,67,12613,4162,JUST COUTURE,2301,1,4,https://www.wildberries.ru/catalog/41604015/detail.aspx?targetUrl=BP
214,Кеды RIBERAC 120 1 CUC,12387957,61,5480,2137,Lacoste,524,10,4,https://www.wildberries.ru/catalog/12387957/detail.aspx?targetUrl=BP
215,Ботинки,27387325,65,8390,2936,GUESS,398,23,4,https://www.wildberries.ru/catalog/27387325/detail.aspx?targetUrl=BP
216,Сандалии,11639916,70,7990,2397,UNISA,18824,6,5,https://www.wildberries.ru/catalog/11639916/detail.aspx?targetUrl=BP
217,Шлепанцы,7228283,75,5480,1370,Lacoste,524,35,4,https://www.wildberries.ru/catalog/7228283/detail.aspx?targetUrl=BP
218,Сандалии,111259165,58,12290,5161,INUOVO,7899,3,5,https://www.wildberries.ru/catalog/111259165/detail.aspx?targetUrl=BP
219,Шлепанцы,33084907,55,13390,6025,Love Moschino,15483,3,4,https://www.wildberries.ru/catalog/33084907/detail.aspx?targetUrl=BP
220,Кеды,38418854,58,14780,6207,Lacoste,524,3,3,https://www.wildberries.ru/catalog/38418854/detail.aspx?targetUrl=BP
221,Полусапожки,8849779,66,7990,2716,Braccialini,7740,7,4,https://www.wildberries.ru/catalog/8849779/detail.aspx?targetUrl=BP
