,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
72,Брюки домашние женские Хлопок,36277236,56,2069,910,ИвановоТекстиль,44551,4877,5,https://www.wildberries.ru/catalog/36277236/detail.aspx?targetUrl=BP
73,Леггинсы в рубчик бесшовные спортивные утягивающие,81301985,65,5300,1855,Kantik,554393,345,5,https://www.wildberries.ru/catalog/81301985/detail.aspx?targetUrl=BP
74,Брюки женские классические трикотажные,106243775,82,12550,2259,Albasete,10419096,179,5,https://www.wildberries.ru/catalog/106243775/detail.aspx?targetUrl=BP
75,Брюки женские классические черные прямые палаццо,119048785,80,7990,1598,Vatum,1198098,85,5,https://www.wildberries.ru/catalog/119048785/detail.aspx?targetUrl=BP
76,Брюки домашние женские Хлопок,111228160,68,2362,755,ИвановоТекстиль,44551,4877,5,https://www.wildberries.ru/catalog/111228160/detail.aspx?targetUrl=BP
77,Лосины спортивные,41762577,57,3600,1548,Эйфория,14586,5932,5,https://www.wildberries.ru/catalog/41762577/detail.aspx?targetUrl=BP
78,Шорты кожаные короткие летние классические,67344829,38,3200,1984,CHERRY FASHION,107971,1496,5,https://www.wildberries.ru/catalog/67344829/detail.aspx?targetUrl=BP
79,Юбка шорты теннисная,76103696,59,3900,1599,Эйфория,14586,476,5,https://www.wildberries.ru/catalog/76103696/detail.aspx?targetUrl=BP
80,Шорты женские спортивные домашние,24813351,92,18300,1464,by LuLu,20299,408,5,https://www.wildberries.ru/catalog/24813351/detail.aspx?targetUrl=BP
81,Брюки женские палаццо классические штаны клеш широкие прямые,82229306,58,3400,1428,L.A.F,61145,1309,5,https://www.wildberries.ru/catalog/82229306/detail.aspx?targetUrl=BP
82,Брюки домашние летние,142505810,48,1889,982,Новое кимоно,19856,5923,5,https://www.wildberries.ru/catalog/142505810/detail.aspx?targetUrl=BP
83,Леггинсы в рубчик лосины женские леггинсы спортивные,116659502,30,5100,3570,rely,332586,3573,5,https://www.wildberries.ru/catalog/116659502/detail.aspx?targetUrl=BP
84,✅ Леггинсы утепленные черные с начесом зимние,137258503,72,4070,1139,MarryMan,244767716,355,5,https://www.wildberries.ru/catalog/137258503/detail.aspx?targetUrl=BP
85,Леггинсы в рубчик спортивные,132810797,38,1220,756,Finelle,66839825,1040,5,https://www.wildberries.ru/catalog/132810797/detail.aspx?targetUrl=BP
86,Леггинсы женские спортивные пуш ап,97483089,20,3250,2600,KIRANSO,9153219,197,5,https://www.wildberries.ru/catalog/97483089/detail.aspx?targetUrl=BP
87,Утепленные брюки женские,43200802,63,5511,2039,Ticle,97465,612,5,https://www.wildberries.ru/catalog/43200802/detail.aspx?targetUrl=BP
88,Брюки джоггеры женские свободные теплые из футера с начесом,16154826,57,5500,2365,OVALOVA,17885,980,5,https://www.wildberries.ru/catalog/16154826/detail.aspx?targetUrl=BP
89,Брюки домашние летние,75317724,48,1845,959,Новое кимоно,19856,5923,5,https://www.wildberries.ru/catalog/75317724/detail.aspx?targetUrl=BP
90,лосины леггинсы женские теплые утепленные термолеггинсы,94905572,57,3500,1505,AtelieroSport,53164,129,5,https://www.wildberries.ru/catalog/94905572/detail.aspx?targetUrl=BP
91,Брюки льняные широкие палаццо,67177868,47,7300,3869,Lanicka,6025,835,5,https://www.wildberries.ru/catalog/67177868/detail.aspx?targetUrl=BP
